skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[0.2,0.5)	PLS	81441	81276	13919.354	9714.089278	81388	44472.41396624665	502121.661818374	13470	29184	32832	0.17126032285053397	0.09019078705738699	0.0010534160416363271	0.16919562740892677	0.17332501829214117
HepG2_skew	[0.2,0.5)	dELS	2062271	2061767	470682.148	570659.240408	2059027	-135296.13903600973	4974576.593716979	95224	180427	316229	0.22829065941980833	0.22466511838101322	3.301019063140586e-4	0.22764365968343278	0.2289376591561839
HepG2_skew	[0.2,0.5)	non-cCRE	5595775	5592748	1226259.07	1504784.359082	5538647	-945043.7776055206	7214107.896547076	71416	192693	53074	0.21925877404095448	0.22098555481540627	1.9877845806492148e-4	0.21886916826314723	0.21964837981876173
HepG2_skew	[0.2,0.5)	pELS	343883	343577	67140.843	64527.309479	343438	37511.76204115865	1051916.4767714057	25020	87821	74732	0.19541716412914717	0.14962289665954462	6.599134614315706e-4	0.1941237337447413	0.19671059451355305
HepG2_skew	[0.5,1.0)	Other cCREs	141322	141205	35347.13	48151.9655	140283	-25763.620978487303	225944.40005283052	2745	5491	8840	0.2503249176728869	0.2783469171749891	0.0014040034347561682	0.2475730709407648	0.253076764405009
HepG2_skew	[0.5,1.0)	PLS	17858	17816	3254.745	2411.496203	17852	11937.740992818732	116467.04225081611	3228	6336	7245	0.18268662999550964	0.10198696645833652	0.0023925842254429366	0.17799716491364148	0.1873760950773778
HepG2_skew	[0.5,1.0)	dELS	442302	442207	110288.955	144038.064811	441641	-43591.41194812929	1092499.429206778	20074	39990	76163	0.24940571949335946	0.26352281207639483	7.719626736426647e-4	0.24789267265301984	0.2509187663336991
HepG2_skew	[0.5,1.0)	non-cCRE	1032679	1032136	225791.39	277192.447998	1023856	-189273.8086703789	1336241.2488612155	12058	39763	11818	0.21876127758357428	0.2207056587115338	4.6242176931305285e-4	0.2178549309157207	0.21966762425142786
HepG2_skew	[0.5,1.0)	pELS	76553	76474	15545.787	15486.504543	76437	10561.479004803234	251443.99671492144	6118	20107	18205	0.2032819912650051	0.1611853334622464	0.0014517968764037284	0.2004364693872538	0.2061275131427564
HepG2_skew	[1.0,1.5)	Other cCREs	23980	23962	5477.616	7281.892408	23794	-4692.3409932889035	37280.62124282405	423	953	1542	0.22859594357733076	0.25164774466531925	0.0032406713475957812	0.22224422773604302	0.2349476594186185
HepG2_skew	[1.0,1.5)	PLS	2692	2688	488.869	347.764275	2689	1894.591003714245	17310.657235781055	485	952	1051	0.18187090773809525	0.09633540238369374	0.00598657359319927	0.17013722349542468	0.19360459198076582
HepG2_skew	[1.0,1.5)	dELS	77287	77274	18397.845	24134.581649	77154	-6414.3539848747905	187456.3188462464	3593	7140	13730	0.2380858374097368	0.2556431782853061	0.001818864754333267	0.2345208624912436	0.24165081232823
HepG2_skew	[1.0,1.5)	non-cCRE	168921	168840	30572.126	31758.94482	167473	-37063.622949160286	224996.98090202425	1736	7177	2116	0.1810715825633736	0.15531483592566375	9.59110839773609e-4	0.17919172531741734	0.18295143980932987
HepG2_skew	[1.0,1.5)	pELS	14213	14189	2672.721	2473.408355	14198	1954.3809977447395	44222.40790512267	1111	3834	3534	0.18836570582845866	0.1388468689986225	0.0031281829966112473	0.1822344671551006	0.1944969445018167
HepG2_skew	[1.5,Inf)	Other cCREs	6762	6761	1132.686	968.847586	6730	-1333.9319966671756	10382.184587459966	120	242	391	0.16753231770448157	0.11524941940659492	0.004128705493600971	0.15944005493702368	0.17562458047193946
HepG2_skew	[1.5,Inf)	PLS	639	635	106.196	58.20881	639	317.3670016091781	3351.6674273489966	97	223	242	0.16723779527559055	0.06379940866390124	0.010023547760495338	0.14759164166501967	0.18688394888616142
HepG2_skew	[1.5,Inf)	dELS	21611	21606	3929.639	3882.779997	21582	-2220.4879932982144	50272.09318292966	918	1942	3552	0.18187721003424975	0.1466358814736506	0.0026051512413950186	0.17677111360111553	0.18698330646738398
HepG2_skew	[1.5,Inf)	non-cCRE	46278	46261	6368.042	3551.5909739999997	45866	-10798.993986487856	61756.16164819518	443	1747	545	0.13765465510905514	0.05782534260203247	0.0011180252167324383	0.13546332568425956	0.13984598453385072
HepG2_skew	[1.5,Inf)	pELS	3892	3887	632.638	443.430172	3889	425.8620030671591	11455.262548202392	290	1040	949	0.16275739644970416	0.0876128816842131	0.0047476283243860036	0.1534520449339076	0.17206274796550072
K562_skew	(-Inf,-1.5)	Other cCREs	27720	27718	16785.133	33878.863817	27498	-4114.476989477175	55733.82179505223	784	1214	5797	0.6055679702720255	0.8555877221720968	0.005555860423121171	0.5946784838427079	0.616457456701343
K562_skew	(-Inf,-1.5)	PLS	7488	7487	2309.711	2775.734031	7483	22621.244988732866	152118.06367408446	3738	2879	5445	0.3084961934018966	0.2756073977613562	0.006067244808375523	0.2966043935774806	0.3203879932263126
K562_skew	(-Inf,-1.5)	dELS	77516	77506	44803.511	88253.834627	77308	15000.002987178745	313168.97242011223	6801	8346	37458	0.5780650659303795	0.8045221609815175	0.0032218205236582893	0.5717502977040093	0.5843798341567498
K562_skew	(-Inf,-1.5)	non-cCRE	127232	127157	111632.764	246286.574132	125827	-45240.15387980665	190017.2497047872	920	6382	3197	0.8779128478966945	1.1661481673706344	0.003028354626004863	0.871977272829725	0.8838484229636641
