skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
mean_skew	(-Inf,-1.5)	PLS	5	all	0	186	271223115	11777645	8.118694739413396	1.439720059443511	322.05324501892926	0.005483791320066542	3.021247800767376	0.5257883199214971	8.33115541840777
mean_skew	(-Inf,-1.5)	dELS	0	all	628	9792	271223115	11777645	0.676077721174083	0.6236310975221679	0.7340096766761665	2.1834323825196904e-19	-0.56473898816227	-0.6812352247053951	-0.4461290121993995
mean_skew	(-Inf,-1.5)	dELS	1	all	182	3301	271223115	11777645	0.7835325262525026	0.6749987516278527	0.9143312924251731	0.0019311048217262768	-0.3519349293290367	-0.5670432609045923	-0.1292110988171765
mean_skew	(-Inf,-1.5)	dELS	2	all	49	1343	271223115	11777645	1.1672448431979114	0.8802073195503679	1.5807196486800605	0.31414945410275824	0.2231072148733263	-0.18408472606888793	0.6605815186615901
mean_skew	(-Inf,-1.5)	dELS	3	all	29	721	271223115	11777645	1.0450760122272345	0.7256486762443379	1.5604859659258616	0.9271272151613739	0.06360787864597046	-0.4626568603261501	0.641995382582207
mean_skew	(-Inf,-1.5)	dELS	4	all	19	480	271223115	11777645	1.0443522300887111	0.6686581788984214	1.7253099350989127	0.9999999999999999	0.06260837368805901	-0.5806592078401668	0.7868555512620877
mean_skew	(-Inf,-1.5)	dELS	5	all	6	276	271223115	11777645	1.7183716563523594	0.8229373098526189	4.313486402255634	0.18019046753889081	0.7810421021271121	-0.2811455624294648	2.1088544080631273
mean_skew	(-Inf,-1.5)	dELS	6	all	6	273	271223115	11777645	1.6997608459271711	0.813905836854822	4.267095542922325	0.17994170437756443	0.7653317753829089	-0.2970662003474942	2.093254413739649
mean_skew	(-Inf,-1.5)	non-cCRE	0	all	2191	26299	271223115	11777645	0.5209565016193112	0.4987237583225763	0.5444121193035696	1.9025874961261997e-158	-0.9407651782721795	-1.003687162793252	-0.8772289114684079
mean_skew	(-Inf,-1.5)	pELS	0	all	62	982	271223115	11777645	0.6775653918131074	0.5249353577619686	0.8886486736746941	0.004059300778465328	-0.5615679072519354	-0.9297883193050093	-0.17031493109294066
mean_skew	(-Inf,-1.5)	pELS	1	all	14	453	271223115	11777645	1.3143105734385774	0.7884106509018014	2.3676925579342254	0.3542474845615922	0.39430622681440286	-0.34298082852699713	1.2434817608911397
mean_skew	(-Inf,-1.5)	pELS	2	all	9	279	271223115	11777645	1.2158801582180827	0.6513833904580449	2.563286014587736	0.6590948641049141	0.2820010382676945	-0.6184211617812952	1.3579944652879026
mean_skew	(-Inf,-1.5)	pELS	3	all	5	214	271223115	11777645	1.5560439159178225	0.7032987999162577	4.287308595299335	0.3962521798064455	0.6378827777937645	-0.5077903393422997	2.1000722643405183
