skew_type	skew_bin	ccre_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	pleio_set	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-1.0,-0.5)	dELS	4	11617	11615	4663.191000000002	6835.6024990000005	11598	10773.411984651351	92188.31386214805	2394	2242	7990	all	0.9289025680851312	7.086389911405215	0.024718434963046303	0.8804544355575604	0.9773507006127019	0.20641489912053804	0.0037581639424659383	0.19904889779330479	0.2137809004477713	0.401480068876453	0.4273656152174913	0.006065829256133981	0.3895910435344304	0.41336909421847556
HepG2_skew	[-1.0,-0.5)	dELS	5	8948	8948	3138.4019999999996	4031.2768419999993	8947	11846.68997203419	91233.83031956469	2358	1636	6628	all	1.3240963420179044	8.444854847146662	0.030722558221536817	1.2638801279036922	1.3843125561321166	0.2635520286129429	0.004657635498765339	0.25442306303536283	0.272680994190523	0.35073781850692887	0.32754225672540704	0.006050213227560684	0.33887940058090993	0.3625962364329478
HepG2_skew	[-1.0,-0.5)	dELS	6	13232	13229	3800.844	3731.8948379999997	13224	24077.783001543372	173849.2862991354	4567	2765	10560	all	1.8207639898323784	9.832059748538686	0.027267218246565403	1.7673202420691103	1.8742077375956465	0.345356926799758	0.00413480424734747	0.337252710474957	0.353461143124559	0.28731151258598536	0.19956672204843007	0.003884011916974755	0.27969884922871485	0.2949241759432559
HepG2_skew	[-1.0,-0.5)	non-cCRE	0	911804	911429	672152.143	1461963.0191570001	903155	-295266.67158789217	1552838.0391167433	11886	39111	21118	all	-0.32692801522207393	1.6124681861712242	0.001336178354542674	-0.32954692479697756	-0.3243091056471703	0.01316053169168083	1.1991646780542424e-4	0.012925495414782199	0.013395567968579462	0.7374706565185001	1.060172100241021	0.001078516426461095	0.7353567643226363	0.7395845487143639
HepG2_skew	[-1.0,-0.5)	pELS	0	41510	41459	26495.409999999996	51637.529912000005	41421	-3853.753011349361	122250.59757383297	2241	7005	9480	all	-0.0930386280232095	2.942830750384276	0.008428928171458565	-0.10955932723926828	-0.07651792880715072	0.0541029912363294	0.0011115327795446243	0.05192438698842193	0.05628159548423686	0.6390749897489084	0.8371116802030217	0.0044934745835507155	0.630267779565149	0.6478821999326678
HepG2_skew	[-1.0,-0.5)	pELS	1	18205	18191	8540.59	14170.723412000001	18164	4642.420998328018	79624.36295052039	1912	4741	7195	all	0.25558362686236613	4.318550688451561	0.015419250503354543	0.22536189587579122	0.285805357848941	0.10526315789473684	0.002277089553742034	0.10080006236940245	0.10972625342007122	0.4694953548458029	0.5586012138184434	0.005541440195697859	0.4586341320622351	0.48035657762937073
HepG2_skew	[-1.0,-0.5)	pELS	2	10211	10207	3548.0919999999996	4814.536034000001	10185	7546.9129960483415	62720.70570891588	1773	3391	5300	all	0.7409831120322378	5.6096396927403225	0.023468588335527906	0.694984678894603	0.7869815451698725	0.17407952871870397	0.0037571838752629445	0.1667154483231886	0.18144360911421933	0.34761359851082585	0.35088879149838603	0.005863213254497645	0.33612170053201046	0.35910549648964124
HepG2_skew	[-1.0,-0.5)	pELS	3	7344	7342	2101.741	2337.664702999999	7343	7498.2750084101	54005.41191658697	1594	2697	4418	all	1.0211459905229607	6.312800116577292	0.02932069464546066	0.9636774290178578	1.0786145520280637	0.21707748876481003	0.004810940885557324	0.20764804462911768	0.2265069329005024	0.286262734949605	0.2364820291764448	0.005675339961598063	0.2751390686248728	0.29738640127433724
HepG2_skew	[-1.0,-0.5)	pELS	4	5748	5748	1411.5339999999997	1262.9676039999997	5748	6846.237999556818	47737.63835548525	1371	2258	3679	all	1.1910643701386252	6.887650635935964	0.03461602336712938	1.1232169643390517	1.2589117759381987	0.238517745302714	0.005621236550937058	0.22750012166287736	0.24953536894255063	0.24556958942240772	0.15944628139276681	0.005266824144395092	0.23524661409939335	0.2558925647454221
HepG2_skew	[-1.0,-0.5)	pELS	5	5395	5393	1167.4540000000002	813.43087	5395	8248.235997632728	53567.89405215848	1575	2254	3587	all	1.5288667280134807	7.593148029398354	0.037515886111510875	1.4553355912349193	1.602397864792042	0.2919369786839666	0.006189916449042337	0.2798047424438436	0.3040692149240896	0.2164758019655109	0.10398837705715068	0.004391139052691927	0.2078691694222347	0.22508243450878707
HepG2_skew	[-1.0,-0.5)	pELS	6	9967	9965	1850.866	912.304318	9964	20601.334004215896	137876.999009035	3735	4300	7102	all	2.0675766764568344	9.56360145719373	0.030980888971309434	2.006854134073068	2.128299218840601	0.3748494580489763	0.004849577345137595	0.3653442864525066	0.384354629645446	0.18573667837431007	0.05705847200361845	0.002392882740062445	0.18104662820378767	0.19042672854483247
HepG2_skew	[-1.5,-1.0)	Other cCREs	0	32859	32855	23921.411000000004	52440.35869100001	32603	-9197.119981216152	55640.1151474439	530	1308	4051	all	-0.28209428522578145	1.6270676694744794	0.007064379568228256	-0.29594046917950884	-0.26824810127205406	0.016256172744839432	7.003600756592151e-4	0.01488346699654737	0.017628878493131495	0.7280904276365852	1.0660317868856	0.005696188354324136	0.7169258984621099	0.7392549568110605
