skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[-1.5,-1.0)	dELS	SINGLETON	55680	55670	15601.847	22975.163707	55553	18703.95800256915	217374.06330654785	5289	5634	24346	0.33668673163589996
mean_skew	[-1.5,-1.0)	dELS	ULTRARARE	51364	51359	47095.016	100891.447512	51260	-2741.6810045123575	192290.1163323828	3557	5394	21333	-0.053485778472734245
mean_skew	[-1.5,-1.0)	non-cCRE	COMMON	5463	5461	6691.209	15330.480945	5405	-3366.11399800761	10576.845356747064	25	280	96	-0.6227777979662553
mean_skew	[-1.5,-1.0)	non-cCRE	LOW_FREQ	7044	7041	10075.689	24555.533313	6967	-4215.845993702999	14063.302918907912	40	300	130	-0.6051164050097602
mean_skew	[-1.5,-1.0)	non-cCRE	RARE	19364	19357	29990.007	74221.947303	19148	-11758.144976205544	38742.16595386312	120	895	373	-0.6140664808964666
mean_skew	[-1.5,-1.0)	non-cCRE	SINGLETON	78209	78176	25662.358	41840.832004	77306	-9307.807951393772	93621.1551064357	987	3644	2135	-0.12040214150769374
mean_skew	[-1.5,-1.0)	non-cCRE	ULTRARARE	84314	84281	95832.99	221935.758832	83517	-38470.24392001633	151195.82173499223	672	3938	1948	-0.4606277035815023
mean_skew	[-1.5,-1.0)	pELS	COMMON	379	379	262.248	490.152114	378	-87.12499873258648	1679.1168056054444	25	113	167	-0.23048941463647216
mean_skew	[-1.5,-1.0)	pELS	LOW_FREQ	476	476	400.429	828.768805	474	105.8610003888608	2176.793053255781	53	123	217	0.22333544385835613
mean_skew	[-1.5,-1.0)	pELS	RARE	1357	1356	1231.597	2502.669569	1354	292.82200410822406	7828.27502635026	178	364	607	0.21626440480666476
mean_skew	[-1.5,-1.0)	pELS	SINGLETON	10128	10122	2636.301	3106.148641	10115	10599.947000801094	78904.7054690506	2072	2939	5201	1.047943351537429
mean_skew	[-1.5,-1.0)	pELS	ULTRARARE	8163	8152	5639.773	10663.863875	8149	4824.499010637869	54522.47978927733	1345	2194	3917	0.5920357112084758
mean_skew	[0.05,0.2)	PLS	COMMON	5858	5841	1029.981	706.262349	5849	-1691.526003718494	24688.76991321939	396	2273	2077	-0.28919917998264555
