skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
K562_skew	(-Inf,-1.5)	dELS	non-CpG transversion	26329	26329	1668.882	183.80123	26241	9145.884992476436	101676.08979664602	2468	2765	13019	77506	0.33970273269166257
K562_skew	(-Inf,-1.5)	non-cCRE	CpG transition	45337	45337	101843.39199999999	244530.42120399998	45248	-40297.995931379744	115636.58237685141	114	2332	875	127157	0.3565434856122746
K562_skew	(-Inf,-1.5)	non-cCRE	non-CpG transition	42837	42837	7433.959	1524.635971	42163	1713.834023897071	31078.412908783903	466	2061	1215	127157	0.3368827512445245
K562_skew	(-Inf,-1.5)	non-cCRE	non-CpG transversion	38983	38983	2355.413	231.516957	38343	-6618.434972208458	43103.83715057229	340	1985	1107	127157	0.30657376314320095
K562_skew	(-Inf,-1.5)	pELS	CpG transition	2954	2954	4650.023	9671.085979	2953	-74.38300268934131	18618.364291134876	334	820	1583	12992	0.2273706896551724
K562_skew	(-Inf,-1.5)	pELS	non-CpG transition	5303	5303	864.426	169.237798	5296	7122.743008899734	45763.57437806405	1242	1542	3054	12992	0.40817426108374383
K562_skew	(-Inf,-1.5)	pELS	non-CpG transversion	4735	4735	314.396	33.711936	4729	5105.162004673273	35623.96429452467	981	1410	2779	12992	0.36445504926108374
K562_skew	[-0.05,0.05)	PLS	CpG transition	95020	95020	93274.512	150801.302668	94941	-33264.503982573515	436436.21275058354	6888	32128	38243	769945	0.12341141250349051
K562_skew	[-0.05,0.05)	PLS	non-CpG transition	371332	371332	53063.21	9795.56745	371081	130383.62094052271	1634459.4359454855	42487	112375	102848	769945	0.48228379949217154
K562_skew	[-0.05,0.05)	PLS	non-CpG transversion	303593	303593	22080.595	3119.923373	303282	64413.26696037046	1419096.8456993187	32755	97679	96513	769945	0.394304788004338
K562_skew	[-0.05,0.05)	dELS	CpG transition	3941086	3941086	7770149.55	16570148.473608006	3935017	-3157170.818867362	13677384.404411588	80092	342423	493133	46592399	0.08458645797568827
K562_skew	[-0.05,0.05)	dELS	non-CpG transition	25956891	25956891	3770016.108999991	752783.556809	25926479	3126159.743216494	55942972.999465495	1364706	1734179	2343516	46592399	0.5571056987213729
