Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010743)	129	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	PLA2G10
Actin Filament Bundle Organization (GO:0061572)	130	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	BAIAP2L1
Dendrite Morphogenesis (GO:0048813)	131	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	FARP1
Regulation of Angiogenesis (GO:0045765)	132	0.065063515325669	0.151321963674094	0	0	5.05652841781874	13.8164143952911	NPPB;EMILIN2
Regulation of Cell Migration (GO:0030334)	133	0.0663413970602011	0.153133901484825	0	0	3.41695914642707	9.2700092012456	KIF26A;SEMA3A;EMILIN2
Positive Regulation of Macromolecule Metabolic Process (GO:0010604)	134	0.0686493272178436	0.155147140671308	0	0	14.8870967741935	39.8787203721738	PLA2G10
Neuron Projection Extension (GO:1990138)	135	0.0686493272178436	0.155147140671308	0	0	14.8870967741935	39.8787203721738	SEMA3A
Regulation of Cell Growth (GO:0001558)	136	0.0687296779521104	0.155147140671308	0	0	4.89672619047619	13.111347611973	NPPB;GNG4
Neural Crest Cell Migration (GO:0001755)	137	0.0707189912236751	0.15630874341552	0	0	14.4210069444444	38.2018404615551	SEMA3A
Blood Vessel Diameter Maintenance (GO:0097746)	138	0.0707189912236751	0.15630874341552	0	0	14.4210069444444	38.2018404615551	NPPB
Phosphatidic Acid Metabolic Process (GO:0046473)	139	0.0727841800773353	0.15630874341552	0	0	13.983164983165	36.6394810914536	PLA2G10
Positive Regulation of Actin Filament Polymerization (GO:0030838)	140	0.0727841800773353	0.15630874341552	0	0	13.983164983165	36.6394810914536	BAIAP2L1
Positive Regulation of Reproductive Process (GO:2000243)	141	0.0727841800773353	0.15630874341552	0	0	13.983164983165	36.6394810914536	PLA2G10
Semaphorin-Plexin Signaling Pathway (GO:0071526)	142	0.0727841800773353	0.15630874341552	0	0	13.983164983165	36.6394810914536	SEMA3A
DNA Recombination (GO:0006310)	143	0.0748449031989624	0.15630874341552	0	0	13.5710784313725	35.1808123298958	RMI2
DNA-templated DNA Replication Maintenance of Fidelity (GO:0045005)	144	0.0748449031989624	0.15630874341552	0	0	13.5710784313725	35.1808123298958	TIPIN
Visual System Development (GO:0150063)	145	0.0748449031989624	0.15630874341552	0	0	13.5710784313725	35.1808123298958	SIX6
Regulation of Axon Extension (GO:0030516)	146	0.0748449031989624	0.15630874341552	0	0	13.5710784313725	35.1808123298958	SEMA3A
Regulation of Chromosome Organization (GO:0033044)	147	0.0748449031989624	0.15630874341552	0	0	13.5710784313725	35.1808123298958	RMI2
Negative Regulation of DNA Recombination (GO:0045910)	148	0.0769011699558615	0.159517967408442	0	0	13.1825396825397	33.8163014861726	RMI2
Odontogenesis (GO:0042476)	149	0.0789529897422353	0.162674952019236	0	0	12.8155864197531	32.5375265811807	WNT10A
Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)	150	0.0810003718810383	0.164682875281316	0	0	12.4684684684685	31.3370209184116	TET3
Positive Regulation of Non-Canonical NF-kappaB Signal Transduction (GO:1901224)	151	0.0810003718810383	0.164682875281316	0	0	12.4684684684685	31.3370209184116	C1QTNF4
Collagen Fibril Organization (GO:0030199)	152	0.083043325711006	0.165317285957724	0	0	12.1396198830409	30.2081428435344	TLL1
Positive Regulation of Innate Immune Response (GO:0045089)	153	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	CPT1A
DNA Integrity Checkpoint Signaling (GO:0031570)	154	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	TIPIN
Membrane Fission (GO:0090148)	155	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	STAM2
Neural Crest Cell Development (GO:0014032)	156	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	SEMA3A
Arachidonate Metabolic Process (GO:0019369)	157	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	PLA2G10
Blood Circulation (GO:0008015)	158	0.0850818605254734	0.165317285957724	0	0	11.8276353276353	29.14496612255	NPPB
Purine Ribonucleotide Biosynthetic Process (GO:0009152)	159	0.0871159856496243	0.168205079210281	0	0	11.53125	28.1421872079359	NPPB
Lipid Metabolic Process (GO:0006629)	160	0.0886973659649512	0.168936623900144	0	0	4.20807174887892	10.1941593757924	CPT1A;PLPPR3
Unsaturated Fatty Acid Metabolic Process (GO:0033559)	161	0.0891457103316723	0.168936623900144	0	0	11.2493224932249	27.1950464879651	PLA2G10
Positive Regulation of Wound Healing (GO:0090303)	162	0.0891457103316723	0.168936623900144	0	0	11.2493224932249	27.1950464879651	EMILIN2
Positive Regulation of Cytokine-Mediated Signaling Pathway (GO:0001961)	163	0.091171043818831607	0.171714788051419	0	0	10.9808201058201	26.2992610867916	C1QTNF4
Lipid Modification (GO:0030258)	164	0.0931919953621013	0.17445086936686	0	0	10.7248062015504	25.4509673242346	PLPPR3
Icosanoid Metabolic Process (GO:0006690)	165	0.0952085741754578	0.176078507661841	0	0	10.4804292929293	24.6466712582413	PLA2G10
Neuron Migration (GO:0001764)	166	0.0952085741754578	0.176078507661841	0	0	10.4804292929293	24.6466712582413	SEMA3A
Negative Regulation of Cell Projection Organization (GO:0031345)	167	0.0992286503550749	0.182414345263521	0	0	10.0235507246377	23.1576948334135	SEMA3A
Cardiac Muscle Tissue Development (GO:0048738)	168	0.101232166068673	0.184989732042159	0	0	9.8096926713948	22.4675190164632	NPPB
Negative Regulation of Neuron Projection Development (GO:0010977)	169	0.105226198455375	0.191150549856805	0	0	9.40816326530612	21.183824723374	SEMA3A
Eye Development (GO:0001654)	170	0.107216733355278	0.191369401977154	0	0	9.21944444444444	20.5861246770311	SIX6
Positive Regulation of Neurogenesis (GO:0050769)	171	0.107216733355278	0.191369401977154	0	0	9.21944444444444	20.5861246770311	SS18L1
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	172	0.107216733355278	0.191369401977154	0	0	9.21944444444444	20.5861246770311	TIPIN
Negative Regulation of Response to Stimulus (GO:0048585)	173	0.109202959499722	0.193787910788524	0	0	9.03812636165577	20.015356653722	KIF26A
Phosphatidylcholine Metabolic Process (GO:0046470)	174	0.113162521815025	0.199660311478234	0	0	8.69601677148847	18.9480139753331	PLA2G10
Phospholipid Transport (GO:0015914)	175	0.117104957729417	0.20536191667807	0	0	8.37878787878788	17.9698579311034	PLA2G10
Positive Regulation of Cellular Process (GO:0048522)	176	0.118345447334145	0.20536191667807	0	0	2.63153594771242	5.61608563128129	TIPIN;PLA2G10;NCMAP
Glycerophospholipid Metabolic Process (GO:0006650)	177	0.119069775793799	0.20536191667807	0	0	8.2286706349206291	17.5109863919695	PLA2G10
Neurogenesis (GO:0022008)	178	0.119069775793799	0.20536191667807	0	0	8.2286706349206291	17.5109863919695	NTN5
Skin Development (GO:0043588)	179	0.124938738081333	0.21428040553614	0	0	7.80885122410546	16.2418776479949	WNT10A
Positive Regulation of Protein Polymerization (GO:0032273)	180	0.126886591330541	0.215216483637989	0	0	7.67824074074074	15.8514329584119	BAIAP2L1
Regulation of Actin Filament Polymerization (GO:0030833)	181	0.126886591330541	0.215216483637989	0	0	7.67824074074074	15.8514329584119	BAIAP2L1
Regulation of Non-Canonical NF-kappaB Signal Transduction (GO:1901222)	182	0.128830225681732	0.216125023411431	0	0	7.55191256830601	15.475831000962	C1QTNF4
Positive Regulation of Cytoskeleton Organization (GO:0051495)	183	0.128830225681732	0.216125023411431	0	0	7.55191256830601	15.475831000962	BAIAP2L1
Canonical Wnt Signaling Pathway (GO:0060070)	184	0.13076965000552	0.217863080604702	0	0	7.42965949820789	15.1142893116751	WNT10A
Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)	185	0.132704873202213	0.217863080604702	0	0	7.31128747795414	14.7660780906948	RMI2
Phospholipid Metabolic Process (GO:0006644)	186	0.132704873202213	0.217863080604702	0	0	7.31128747795414	14.7660780906948	PLPPR3
Neuropeptide Signaling Pathway (GO:0007218)	187	0.132704873202213	0.217863080604702	0	0	7.31128747795414	14.7660780906948	NPPB
Positive Regulation of Interleukin-6 Production (GO:0032755)	188	0.134635904076367	0.219857566763003	0	0	7.19661458333333	14.4305159125103	C1QTNF4
Gland Development (GO:0048732)	189	0.138485424222635	0.222591755164131	0	0	6.9776936026936	13.7948318652853	WNT10A
Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	190	0.138485424222635	0.222591755164131	0	0	6.9776936026936	13.7948318652853	GNG4
Positive Regulation of Secretion by Cell (GO:1903532)	191	0.138485424222635	0.222591755164131	0	0	6.9776936026936	13.7948318652853	PLA2G10
Negative Regulation of Blood Vessel Morphogenesis (GO:2000181)	192	0.142318280870137	0.22756100118298	0	0	6.77165032679739	13.2026142872412	NPPB
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	193	0.144228482297254	0.228894413514528	0	0	6.6731078904992	12.9215162009004	C1QTNF4
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	194	0.14572796549954	0.228894413514528	0	0	3.09233680227058	5.95588287699467	PSMD12;KLHDC1
Synapse Assembly (GO:0007416)	195	0.146134544133054	0.228894413514528	0	0	6.57738095238095	12.6498002312378	FARP1
