skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
SKNSH_skew	[-1.5,-1.0)	dELS	144976	144955	99602.846	203180.881726	144699	-1684.1789887470673	475810.09998782724	9738	14334	53513
SKNSH_skew	[-1.5,-1.0)	non-cCRE	231877	231750	209694.167	465601.516569	229539	-84996.34983586486	380575.59789972333	2310	10435	5084
SKNSH_skew	[-1.5,-1.0)	pELS	22546	22517	11855.726	20800.551152	22509	14086.015014072651	145243.7878393627	3671	6117	9749
SKNSH_skew	[0.05,0.2)	Other cCREs	4916008	4912197	855537.828	678241.460208	4890493	-538552.0855906137	8101020.489913989	127164	156610	214873
SKNSH_skew	[0.05,0.2)	PLS	340789	339627	54856.489	30234.991509	340557	93275.33295681303	1776686.0660611624	43668	117323	127779
SKNSH_skew	[0.05,0.2)	dELS	12848625	12845957	2223308.695	1728535.9279810004	12830947	-760119.67792059	30981369.84470363	590186	964350	1483321
SKNSH_skew	[0.05,0.2)	non-cCRE	59221030	59192793	9809476.543999985	7061976.270537979	58465408	-9095061.130920842	72851508.39471434	753225	1487219	306376
SKNSH_skew	[0.05,0.2)	pELS	1925303	1923601	312682.627	206494.236811	1923386	17584.137951118602	5161833.28600391	109299	439718	313437
SKNSH_skew	[0.2,0.5)	Other cCREs	757967	757182	160717.263	186939.938031	752368	-101707.33386915819	1198101.7328572082	16958	28791	40781
SKNSH_skew	[0.2,0.5)	PLS	98146	97966	16014.694	9290.467075999999	98081	55077.480981676614	611782.6934566017	16601	35997	41507
SKNSH_skew	[0.2,0.5)	dELS	2178374	2177729	442521.479	478716.152371	2174478	-101165.10396342946	5262775.612010089	102646	187042	330441
SKNSH_skew	[0.2,0.5)	non-cCRE	6763308	6756065	1315407.609	1431204.601783	6684153	-1068605.6812593325	8426674.723340318	84831	226574	59592
SKNSH_skew	[0.2,0.5)	pELS	371639	371326	66770.339	56061.556467	371158	52324.15304861663	1154356.0743708797	28232	94682	80751
SKNSH_skew	[0.5,1.0)	Other cCREs	172165	171984	39763.256	51786.71211	170800	-28879.40094884276	271165.5590048664	3420	6721	10223
SKNSH_skew	[0.5,1.0)	PLS	25812	25775	4416.023	2902.087743	25798	18839.093996377538	184230.66242564493	4980	9457	10808
SKNSH_skew	[0.5,1.0)	dELS	524062	523910	118825.16	146623.672808	523178	-34868.47797545873	1296490.362082764	24854	47309	89333
SKNSH_skew	[0.5,1.0)	non-cCRE	1296258	1294511	271943.64	330770.003258	1282179	-230563.44457727345	1649695.998983668	15342	49616	14416
SKNSH_skew	[0.5,1.0)	pELS	91916	91825	17298.227	15736.109927	91806	19325.112008672317	322264.2532399529	8075	24217	21823
SKNSH_skew	[1.0,1.5)	Other cCREs	31328	31292	7554.66	10474.303164	31100	-6122.085999486618	48398.74332561733	544	1211	2035
SKNSH_skew	[1.0,1.5)	PLS	5377	5370	876.3679999999999	487.383434	5375	4716.702001552678	43480.50017969252	1140	1971	2176
SKNSH_skew	[1.0,1.5)	dELS	99580	99559	23616.795000000002	30941.526719	99401	-7059.930983916274	246874.43841303457	4752	9168	18099
SKNSH_skew	[1.0,1.5)	non-cCRE	209357	209212	45018.399	55928.860521	207447	-44414.11794058093	282986.3270714508	2352	8558	2745
SKNSH_skew	[1.0,1.5)	pELS	18146	18127	3441.434	3211.722374	18124	4534.000994647503	68017.09510627923	1731	4993	4724
SKNSH_skew	[1.5,Inf)	Other cCREs	10329	10327	2103.696	2466.96017	10275	-2153.040997465724	15520.944260593938	156	379	681
SKNSH_skew	[1.5,Inf)	PLS	1630	1628	272.988	154.080336	1630	1535.6710024651843	14199.753650491491	368	603	635
SKNSH_skew	[1.5,Inf)	dELS	33024	33013	7114.088	8545.842228	32973	-3064.803995774359	79766.76128905674	1507	3056	5994
SKNSH_skew	[1.5,Inf)	non-cCRE	67008	66971	11576.155	11397.990271	66330	-15073.42797759792	88578.85303786071	643	2577	896
SKNSH_skew	[1.5,Inf)	pELS	5997	5991	1077.343	932.818783	5992	1064.2479989884885	19974.96032123208	539	1628	1604
mean_skew	(-Inf,-1.5)	Other cCREs	13800	13799	12349.991	27056.601001	13708	-5564.988994104321	27139.501238684254	181	569	2101
mean_skew	(-Inf,-1.5)	PLS	4082	4082	1472.867	1990.296065	4079	13255.30400350865	93013.81926846816	2143	1552	2810
mean_skew	(-Inf,-1.5)	dELS	38651	38649	32402.074	69593.091282	38573	-2023.4070012718444	136764.84714195837	2617	3901	16974
mean_skew	(-Inf,-1.5)	non-cCRE	73105	73072	78766.375	178300.267705	72451	-34751.47294242855	131579.95150642018	473	3249	1609
mean_skew	(-Inf,-1.5)	pELS	5941	5941	3732.898	7149.402922	5938	5155.873997278048	47855.4968745778	1125	1594	3202
mean_skew	[-0.05,0.05)	Other cCREs	19253756	19239780	4667995.067999997	6235899.643675992	19169835	-354505.73551226984	30171411.943622947	588080	563508	691032
mean_skew	[-0.05,0.05)	PLS	781434	776399	161500.537	146345.360561	780785	175674.34789312677	3565243.960793976	85050	248942	249971
mean_skew	[-0.05,0.05)	dELS	44819964	44808536	11215260.910999987	14898848.858437045	44761226	2711511.2516023624	101146987.13927723	2272309	3052904	4197465
mean_skew	[-0.05,0.05)	non-cCRE	300276644	300125299	69129009.32099964	89533144.2239522	296738718	-28551962.123907413	336980404.80875725	4248978	6385630	1006962
mean_skew	[-0.05,0.05)	pELS	6263870	6257649	1423632.5250000001	1628391.138129	6257937	379565.7980156528	14647973.521846903	325676	1308218	785102
mean_skew	[-0.2,-0.05)	Other cCREs	4255063	4251281	2098108.723	4056990.916029	4228409	-635800.1861391333	7216805.810878036	105496	151532	230612
mean_skew	[-0.2,-0.05)	PLS	416240	415314	115861.465	130657.99424700001	415866	199504.20497920184	2330956.257092432	63299	146053	179539
mean_skew	[-0.2,-0.05)	dELS	12036621	12032884	5990088.542	11137597.217528004	12016417	-602183.289455111	30699900.05560243	600117	994181	1824098
mean_skew	[-0.2,-0.05)	non-cCRE	43081688	43048644	21153993.456999995	41709995.77638897	42528544	-8231279.698026931	59172960.31490241	612380	1279466	357094
mean_skew	[-0.2,-0.05)	pELS	1900109	1898261	762262.329	1204663.754689	1897808	125413.6210439668	5539558.101923968	125848	458154	402012
mean_skew	[-0.5,-0.2)	Other cCREs	805541	804859	460422.323	916458.223371	800188	-175676.79075352487	1435819.4441845398	17738	32766	75206
mean_skew	[-0.5,-0.2)	PLS	154255	154097	40628.936	42898.657418	154158	169009.89595559266	1253718.5213320043	37558	57187	81874
mean_skew	[-0.5,-0.2)	dELS	2449358	2448537	1366019.904	2609049.365108	2444992	-175907.00913036492	6925578.240593849	132386	231387	591056
mean_skew	[-0.5,-0.2)	non-cCRE	5383911	5379211	3520804.888	7159648.814744	5330181	-1671147.209556833	8426497.557637658	64992	208949	87573
mean_skew	[-0.5,-0.2)	pELS	427926	427421	179838.229	285013.803037	427303	102303.23599986745	1661649.771738611	42214	114081	139039
mean_skew	[-1.0,-0.5)	Other cCREs	201190	201098	128908.802	263296.8298	199944	-39538.4009736717	424587.0289559355	5729	8358	31716
mean_skew	[-1.0,-0.5)	PLS	53007	52994	14880.256	16471.118376	52977	102774.3559716857	677338.2470084938	19402	20257	32731
