vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
mature miRNA variant	SINGLETON	non-CpG-tv	2111	2111	126.544	13.48249	2108	2369.781000447228	21844.92608286991	456
mature miRNA variant	SINGLETON	unknown	20	0	0	0	20	-24.2710006157868	87.0769970237881	0
mature miRNA variant	ULTRARARE	CpG	781	781	1463.493	3133.230293	781	645.3559935358352	10412.921225568623	179
mature miRNA variant	ULTRARARE	non-CpG-ti	1937	1937	303.698	65.343024	1930	1843.6429991148188	16120.376224133039	369
mature miRNA variant	ULTRARARE	non-CpG-tv	1236	1236	84.801	11.383623	1231	1137.182997628232	10989.766912214633	236
mature miRNA variant	ULTRARARE	unknown	26	0	0	0	26	-34.1760008335114	185.356099151667	0
missense variant	COMMON	CpG	10988	10988	20154.922	42473.595678	10978	10899.802966967578	146983.69272755965	3244
missense variant	COMMON	non-CpG-ti	21233	21233	3224.2219999999998	758.160984	21207	29292.58796382684	236189.88438641993	6690
missense variant	COMMON	non-CpG-tv	15632	15632	932.264	105.28956600000001	15584	20935.968960391703	177519.9639030856	4701
missense variant	COMMON	unknown	88	0	0	0	88	-30.30200073122977	942.3850390721221	13
missense variant	LOW_FREQ	CpG	22688	22688	45218.92	99028.359418000007	22663	49205.963855291026	454516.96138187783	9800
missense variant	LOW_FREQ	non-CpG-ti	30866	30866	5090.659	1338.453649	30828	75483.1818813371	519636.97050017153	13913
missense variant	LOW_FREQ	non-CpG-tv	24238	24238	1524.547	179.797227	24183	53000.81188046324	383871.2461643426	9922
missense variant	LOW_FREQ	unknown	52	0	0	0	52	-29.59099990176033	566.7316722456266	1
missense variant	RARE	CpG	87363	87363	176469.08800000002	388545.60251	87291	261789.89529586353	2192679.7022476555	45485
missense variant	RARE	non-CpG-ti	91858	91858	15724.039999999999	4474.733034	91733	273229.92946495867	1853178.5677395572	47551
missense variant	RARE	non-CpG-tv	73101	73101	4699.155	575.898549	72937	195066.9596454743	1391480.1902663857	34443
missense variant	RARE	unknown	504	0	0	0	504	150.45000024046746	2625.973945896151	70
missense variant	SINGLETON	CpG	236501	236501	391597.792	782774.963672	236421	1159002.1577287815	9158910.197558004	168342
missense variant	SINGLETON	non-CpG-ti	1137704	1137704	166665.146	34850.127778	1136798	4449182.098057148	30537824.99034669	715571
missense variant	SINGLETON	non-CpG-tv	1056380	1056380	60470.379	5737.672057	1055222	3645946.46238842	25865936.122814443	598244
missense variant	SINGLETON	unknown	777	0	0	0	777	638.3040024954828	6118.638257088492	162
missense variant	ULTRARARE	CpG	508238	508238	985935.78	2106230.739342	507997	2069549.7946864213	16690442.41051362	321754
missense variant	ULTRARARE	non-CpG-ti	687130	687130	114384.689	30182.498523	686453	2403980.0725418995	16382742.788136354	400656
missense variant	ULTRARARE	non-CpG-tv	551865	551865	34370.301	3852.824517	551023	1726944.7971293114	12277636.232581608	291126
missense variant	ULTRARARE	unknown	1787	0	0	0	1787	986.8459985465742	14154.281081756992	352
non coding transcript exon variant	COMMON	CpG	58715	58715	110292.057	237699.680525	58520	-46883.04200254602	266214.57370264636	1993
non coding transcript exon variant	COMMON	non-CpG-ti	178078	178078	26396.403	5670.169771	177697	-26713.278973508513	493401.3540939074	8160
non coding transcript exon variant	COMMON	non-CpG-tv	108200	108200	7420.999	2289.904141	107831	-9515.30901030404	286503.67994892545	5121
non coding transcript exon variant	COMMON	unknown	210	0	0	0	191	-101.17300025583243	548.045692127848	3
non coding transcript exon variant	LOW_FREQ	CpG	78406	78406	162521.984	367699.06934	78131	-57642.09296777996	348472.10424675536	2977
non coding transcript exon variant	LOW_FREQ	non-CpG-ti	192274	192274	29949.086	6674.954024	191865	11405.388004884939	498244.6109841897	10105
non coding transcript exon variant	LOW_FREQ	non-CpG-tv	121376	121376	8431.783	2160.861641	120941	8199.714999801943	331637.25106691505	6605
non coding transcript exon variant	LOW_FREQ	unknown	282	0	0	0	234	-178.85999987099783	1188.3421539402289	0
non coding transcript exon variant	RARE	CpG	228286	228286	476524.064	1081877.75015	227471	-171810.89595254287	1031700.0341106578	8639
non coding transcript exon variant	RARE	non-CpG-ti	469606	469606	73978.214	16958.827526	468584	38402.59898178755	1260393.3469390057	25949
non coding transcript exon variant	RARE	non-CpG-tv	300890	300890	20732.791	4668.420481	299897	27278.618027580796	829709.1889042766	17099
non coding transcript exon variant	RARE	unknown	594	0	0	0	517	-445.4519999511544	2910.582832709471	4
non coding transcript exon variant	SINGLETON	CpG	290432	290432	466596.945	916477.742611	289956	-144009.83197746117	1308952.9489233573	15949
non coding transcript exon variant	SINGLETON	non-CpG-ti	4486704	4486704	639960.766	121623.111818	4480038	747447.804795922	11265789.265083255	258983
non coding transcript exon variant	SINGLETON	non-CpG-tv	3276969	3276969	185789.619	19017.176303	3270527	535289.7158881197	8777620.107590206	196934
non coding transcript exon variant	SINGLETON	unknown	1222	0	0	0	1168	-229.96200147969662	3166.263157217029	30
non coding transcript exon variant	ULTRARARE	CpG	906080	906080	1784946.303	3876986.8200270003	903937	-631903.7049363983	3974051.075543934	35818
non coding transcript exon variant	ULTRARARE	non-CpG-ti	2953024	2953024	460017.735	101498.876435	2947814	321439.4857712369	7733012.049328129	166211
non coding transcript exon variant	ULTRARARE	non-CpG-tv	1892937	1892937	120070.951	16732.041321	1887977	254713.5928910415	5205829.625198879	112472
non coding transcript exon variant	ULTRARARE	unknown	1320	0	0	0	1222	-495.8310004132797	3802.064431007338	21
non coding transcript variant	SINGLETON	non-CpG-ti	7	7	0.954	0.158354	7	-1.221000000834465	16.38038927382085	1
non coding transcript variant	SINGLETON	non-CpG-tv	3	3	0.314	0.050749999999999997	3	0.27199998497962896	0.4330419566588416	0
non coding transcript variant	ULTRARARE	non-CpG-ti	2	2	0.302	0.04666	2	-1.9190000891685532	4.356805373258595	0
non coding transcript variant	ULTRARARE	non-CpG-tv	2	2	0.04	8e-4	2	0.2029999494552599	3.50276514326096	0
regulatory region variant	COMMON	CpG	52766	52766	104147.75200000001	232082.264164	52574	-48097.68798734468	162363.21421388266	464
regulatory region variant	COMMON	non-CpG-ti	188901	188901	27604.916	5389.208668	188316	-43058.62397946429	336337.6388034291	4523
regulatory region variant	COMMON	non-CpG-tv	115511	115511	8218.828	2754.0302619999998	115043	-22495.39699557575	197043.1377405008	2801
