skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[1.5,Inf)	Other cCREs	8	221	3204935	25747115	3.070464190323401	1.5884510458176124	6.803638975061057	1.6184567775673833	0.6676206285818089	2.7663065885751017
HepG2_skew	[1.5,Inf)	dELS	26	880	3204935	25747115	4.06176056734505	2.772336657924652	6.198905514320687	2.0221051981557605	1.4711024613809984	2.6320135141366956
HepG2_skew	[1.5,Inf)	non-cCRE	82	1673	3204935	25747115	2.510645908051153	2.013396858646261	3.1686507335966607	1.3280585707357115	1.00963156846899	1.6638686465685113
HepG2_skew	[1.5,Inf)	pELS	4	161	3204935	25747115	4.033091169238139	1.6931460287507372	12.59091226861619	2.0118860186674445	0.759706406706215	3.654310911520762
K562_skew	(-Inf,-1.5)	Other cCREs	45	1021	3204935	25747115	2.765636835086791	2.058026987426764	3.802158920749868	1.467611723871739	1.0412619007797326	1.926818834297385
K562_skew	(-Inf,-1.5)	PLS	7	437	3204935	25747115	6.815242776112905	3.428376676449121	15.881849286451793	2.7687650503768726	1.7775256273590276	3.9893070049159918
K562_skew	(-Inf,-1.5)	dELS	107	3260	3204935	25747115	3.758879538646156	3.1027757234304647	4.596608616396434	1.910302681866032	1.6335594189457991	2.200569831431628
K562_skew	(-Inf,-1.5)	non-cCRE	136	3368	3204935	25747115	3.061327255797381	2.5801570125324265	3.6587793530126755	1.6141572771679837	1.3674588618924843	1.8713624148809551
K562_skew	(-Inf,-1.5)	pELS	14	619	3204935	25747115	5.145170701898538	3.0952112590798286	9.249023135676588	2.363218942366507	1.6300378818225245	3.2093009989546686
K562_skew	[-0.05,0.05)	Other cCREs	117825	871343	3204935	25747115	0.9177240119597129	0.9120695725300925	0.9234510736379379	-0.1238677391149222	-0.13278421773871518	-0.11489256864421266
K562_skew	[-0.05,0.05)	PLS	3713	36083	3204935	25747115	1.209720463657342	1.1694456914338802	1.251548747257009	0.27467371503179994	0.22582486509497723	0.3237144844392016
K562_skew	[-0.05,0.05)	dELS	218857	1976537	3204935	25747115	1.1344841276179896	1.1293484198142119	1.139732643535962	0.18203642464092382	0.17549064642159826	0.1886954392309685
K562_skew	[-0.05,0.05)	non-cCRE	1929585	14283721	3204935	25747115	0.8235579818293022	0.8215934503097047	0.8255312364047291	-0.28005786976527275	-0.28350341425775455	-0.27660529010181373
K562_skew	[-0.05,0.05)	pELS	34282	300965	3204935	25747115	1.0938814452939254	1.0816763583118032	1.1062536800693998	0.12945638753198238	0.11326890387528019	0.1456822544806452
K562_skew	[-0.2,-0.05)	Other cCREs	23858	219193	3204935	25747115	1.144840715284069	1.1295464211952526	1.1603543597632906	0.1951468863088465	0.17574356267609784	0.21456545621724088
K562_skew	[-0.2,-0.05)	PLS	1373	18086	3204935	25747115	1.6390396218164578	1.5514440532977445	1.7326744898531419	0.712850730280688	0.6336116727060153	0.7930006470059554
K562_skew	[-0.2,-0.05)	dELS	49533	558894	3204935	25747115	1.4134613332359804	1.4004419424594996	1.4266185048219175	0.4992324172251818	0.48588217544245865	0.5125995921477303
K562_skew	[-0.2,-0.05)	non-cCRE	316582	2787881	3204935	25747115	1.1078365705324233	1.1035891087130107	1.1121470578432178	0.14774506886656522	0.14220312396107018	0.15334756647303224
K562_skew	[-0.2,-0.05)	pELS	8291	92383	3204935	25747115	1.388239082141291	1.3573475443361374	1.419980817834482	0.4732560498446052	0.44079016533583043	0.5058714408553192
K562_skew	[-0.5,-0.2)	Other cCREs	2651	41828	3204935	25747115	1.964903165463988	1.8892078553286251	2.04440741733567	0.9744582152079247	0.9177814393413715	1.0316827307170369
K562_skew	[-0.5,-0.2)	PLS	335	7713	3204935	25747115	2.8583541228345717	2.562307405517106	3.197765203504489	1.5151846636726085	1.3574435692824627	1.6770640125595204
K562_skew	[-0.5,-0.2)	dELS	6835	119212	3204935	25747115	2.1762108363462898	2.1237448204850358	2.230417560514985	1.1218183349964714	1.0866104288834615	1.1573138249847523
K562_skew	[-0.5,-0.2)	non-cCRE	24141	365162	3204935	25747115	1.8954996095387822	1.8710415836572094	1.9205826893941373	0.9225781593223157	0.9038416226457039	0.9415440794694591
K562_skew	[-0.5,-0.2)	pELS	1241	22842	3204935	25747115	2.2905503517751424	2.163278631077824	2.4271273568174756	1.1956942770920553	1.1132194969159517	1.2792498119205933
