skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-0.2,-0.05)	dELS	Deletion	2-4 bp	6752	114678	3204935	25747115	2.1188504151618917	2.067424887822045	2.171756261999231	1.083281741121327	1.0478349154013276	1.1188621973703365
HepG2_skew	[-0.2,-0.05)	dELS	Deletion	5-9 bp	3144	35842	3204935	25747115	1.4192310443504481	1.3683112465377734	1.4724145665771338	0.505109472700172	0.4523964339974453	0.5581839274674847
HepG2_skew	[-0.2,-0.05)	dELS	Deletion	10+ bp	3698	22728	3204935	25747115	0.7646626573580447	0.738493425635105	0.7919225835715797	-0.3871046737416513	-0.43734301729045916	-0.3365686920526488
HepG2_skew	[-0.2,-0.05)	dELS	Insertion	1 bp	2910	58312	3204935	25747115	2.496918650506961	2.4056187520553216	2.5924673016224564	1.3201488190947204	1.2664080190304465	1.3743257926702759
HepG2_skew	[-0.2,-0.05)	dELS	Insertion	2-4 bp	5912	61198	3204935	25747115	1.2889925584899302	1.2550031452580257	1.3241363436226232	0.36624393487049955	0.32769097982741774	0.4050516811639009
HepG2_skew	[-0.2,-0.05)	dELS	Insertion	5-9 bp	4212	43106	3204935	25747115	1.274070711370884	1.2343640494590176	1.3153882808470307	0.3494453498965084	0.30376794950470054	0.3954887220786162
HepG2_skew	[-0.2,-0.05)	dELS	Insertion	10+ bp	5089	34308	3204935	25747115	0.838822859041801	0.8144402691453224	0.8640930752540343	-0.2535619175528975	-0.2961191991663087	-0.21074137511984067
HepG2_skew	[-0.2,-0.05)	non-cCRE	Deletion	1 bp	103541	993387	3204935	25747115	1.2020256645734317	1.1942607058055814	1.2098705091005197	0.2654676995079496	0.25611780973226195	0.2748526459498727
HepG2_skew	[-0.2,-0.05)	non-cCRE	Deletion	2-4 bp	47375	628603	3204935	25747115	1.6679234474355737	1.6522832943177987	1.6837727099573105	0.7380530750298783	0.7244610670646731	0.7516974042306163
HepG2_skew	[-0.2,-0.05)	non-cCRE	Deletion	5-9 bp	19873	231057	3204935	25747115	1.451242490319243	1.4302314500754472	1.472501509487972	0.5372886016595112	0.5162486329173875	0.5582691129893153
HepG2_skew	[-0.2,-0.05)	non-cCRE	Deletion	10+ bp	22731	124082	3204935	25747115	0.6779138715219247	0.6683678160539512	0.6876327065968827	-0.5608261032680063	-0.5812858299760754	-0.5402899280194119
HepG2_skew	[-0.2,-0.05)	non-cCRE	Insertion	1 bp	13151	185758	3204935	25747115	1.7636299221707068	1.7326936922611114	1.7952674951687912	0.8185478593860335	0.7930166356208991	0.844198821876419
HepG2_skew	[-0.2,-0.05)	non-cCRE	Insertion	2-4 bp	31237	230095	3204935	25747115	0.9161103025633759	0.9052968848941345	0.9271137667178854	-0.1264067810839853	-0.14353710476260875	-0.10918171115089326
HepG2_skew	[-0.2,-0.05)	non-cCRE	Insertion	5-9 bp	26596	218237	3204935	25747115	1.021566452260289	1.0085797992050023	1.0347661047439647	0.030783053535804072	0.012325235029507144	0.04930470235264128
HepG2_skew	[-0.2,-0.05)	non-cCRE	Insertion	10+ bp	36127	240543	3204935	25747115	0.8271701250574721	0.8180227134313055	0.8364479445741204	-0.2737440141786064	-0.28978719291866134	-0.25765233638297635
HepG2_skew	[-0.2,-0.05)	Other cCREs	Deletion	1 bp	7040	87356	3204935	25747115	1.546232956485859	1.5090864559966857	1.5845459309565453	0.6287576930326263	0.5936754606457141	0.6640694794757952
HepG2_skew	[-0.2,-0.05)	Other cCREs	Deletion	2-4 bp	2996	44532	3204935	25747115	1.8511061477853534	1.7837694250267813	1.9214987352872128	0.8883876258906769	0.8349291405558193	0.942232026832427
HepG2_skew	[-0.2,-0.05)	Other cCREs	Deletion	5-9 bp	1484	14729	3204935	25747115	1.2348103606561323	1.1705796713435594	1.3034128532627591	0.3042894930255998	0.2272231297003527	0.38229412689448516
HepG2_skew	[-0.2,-0.05)	Other cCREs	Deletion	10+ bp	2143	9515	3204935	25747115	0.5523203552415361	0.5269530175374199	0.5791110209880522	-0.8564227973446223	-0.9242537561507427	-0.7880881420529384
HepG2_skew	[-0.2,-0.05)	Other cCREs	Insertion	1 bp	1103	18767	3204935	25747115	2.116930194315517	1.992121681379799	2.2514163789471433	1.0819736973212994	0.994305771784363	1.1708328947712017
HepG2_skew	[-0.2,-0.05)	Other cCREs	Insertion	2-4 bp	2828	22138	3204935	25747115	0.9741015230290848	0.9366660754383186	1.0133511926811827	-0.03785595385511954	-0.09439328091104908	0.019134249295264583
HepG2_skew	[-0.2,-0.05)	Other cCREs	Insertion	5-9 bp	2179	17670	3204935	25747115	1.0090164213354147	0.9650032869125861	1.0554117821495874	0.012949653915415825	-0.05139423851243512	0.0778059943418875
HepG2_skew	[-0.2,-0.05)	Other cCREs	Insertion	10+ bp	2592	17213	3204935	25747115	0.8262460873996367	0.7927769190026164	0.8614081953861176	-0.27535655997959707	-0.3350131345390366	-0.21523104552785322
HepG2_skew	[-0.05,0.05)	PLS	Deletion	1 bp	795	11821	3204935	25747115	1.8490986386984816	1.7208487896901532	1.9891940775572416	0.8868221862161397	0.7831203338985929	0.9921840409127147
HepG2_skew	[-0.05,0.05)	PLS	Deletion	2-4 bp	674	7557	3204935	25747115	1.3938945780795695	1.2881804265338626	1.5103380257270325	0.4791214525742706	0.3653346759335494	0.5948714723742002
HepG2_skew	[-0.05,0.05)	PLS	Deletion	5-9 bp	218	2010	3204935	25747115	1.1430665500815833	0.9937730457154866	1.3201885024182063	0.1929094006457345	-0.009011682944962724	0.4007439387411467
HepG2_skew	[-0.05,0.05)	PLS	Deletion	10+ bp	114	1166	3204935	25747115	1.2631538499282724	1.0422450865102646	1.5435316266537467	0.3370303675585062	0.059694570818421014	0.6262350437881958
