skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
K562_skew	[0.2,0.5)	PLS	Insertion	205	2865	3204935	25747115	1.7318889757085112	1.5030757602111482	2.0047145453614474	0.7923464477732438	0.5879177279012192	1.003396823557902
K562_skew	[0.2,0.5)	pELS	Deletion	553	14139	3204935	25747115	3.1782948242746465	2.9191524427110016	3.465764739801493	1.6682529578489993	1.5455495526012566	1.7931737259807208
K562_skew	[0.2,0.5)	pELS	Insertion	775	8068	3204935	25747115	1.294407663374548	1.2023058421517523	1.395171598810909	0.3722920541967591	0.26580393500917754	0.48044257691346764
K562_skew	[0.2,0.5)	dELS	Deletion	2889	72704	3204935	25747115	3.1375727098701014	3.023128418329108	3.257436942985353	1.6496488923553805	1.5960422639644731	1.70373725157228
K562_skew	[0.2,0.5)	dELS	Insertion	3980	36360	3204935	25747115	1.1371467495573289	1.1004594577512627	1.175260827155689	0.18541844701560536	0.1381059955896617	0.23298097150111796
K562_skew	[0.2,0.5)	non-cCRE	Deletion	10134	208171	3204935	25747115	2.5694480780741427	2.518645120950508	2.6215109447001606	1.3614584992877319	1.3326478595423918	1.3903985690591831
K562_skew	[0.2,0.5)	non-cCRE	Insertion	13630	122823	3204935	25747115	1.1222226383067508	1.1024741142112289	1.1423725083533307	0.16635892132774108	0.14074478209797517	0.19203316587009722
K562_skew	[0.2,0.5)	Other cCREs	Deletion	1186	24761	3204935	25747115	2.598263013643424	2.4510849190175286	2.7562796388677313	1.3775474774652565	1.2934204679351455	1.4627222643636149
K562_skew	[0.2,0.5)	Other cCREs	Insertion	1439	12636	3204935	25747115	1.0924320098723512	1.0343655742794282	1.1544285088291093	0.127543492931981	0.04874616533154468	0.20717883300699685
K562_skew	> 0.5	PLS	Deletion	28	1117	3204935	25747115	4.79898813988901	3.3226010546275067	7.200734293601081	2.2627302476145457	1.7323130787468595	2.8481440326272955
K562_skew	> 0.5	PLS	Insertion	65	1193	3204935	25747115	2.251970714488768	1.7569575257899877	2.9310544055189554	1.1711880661674583	0.8130793148108137	1.551419747230432
K562_skew	> 0.5	pELS	Deletion	115	4022	3204935	25747115	4.317527863952446	3.5892235699214377	5.238610289416833	2.1102054884794565	1.8436717902956063	2.389184141060603
K562_skew	> 0.5	pELS	Insertion	161	3149	3204935	25747115	2.4205711358605595	2.0665044306130347	2.8526118701537246	1.2753474928127886	1.04719245687316	1.5122834654276385
K562_skew	> 0.5	dELS	Deletion	576	18854	3204935	25747115	4.0698805237574955	3.745963832548385	4.4287997523680405	2.024986443063372	1.9053369703617968	2.1469157674204107
K562_skew	> 0.5	dELS	Insertion	794	12292	3204935	25747115	1.9252228558478064	1.791711519244551	2.071048146124523	0.9450254558944144	0.841338369952146	1.0503610926060842
K562_skew	> 0.5	non-cCRE	Deletion	1135	35983	3204935	25747115	3.9470762684517067	3.72059939037485	4.190849496917008	1.9807843963665583	1.895535058930832	2.0672427118884213
K562_skew	> 0.5	non-cCRE	Insertion	1749	27982	3204935	25747115	1.9915070976146216	1.8975502818851147	2.091290094717154	0.9938606213918655	0.9241381151349077	1.0643932002254195
K562_skew	> 0.5	Other cCREs	Deletion	201	5646	3204935	25747115	3.4803692119985543	3.024214020994929	4.024625335509512	1.7992403612650796	1.596560241444629	2.0088544846530265
K562_skew	> 0.5	Other cCREs	Insertion	267	3970	3204935	25747115	1.8445327890780954	1.6294973372165626	2.09533466300847	0.8832554351264746	0.704426994551102	1.067180686933381
SKNSH_skew	< -0.5	PLS	Deletion	44	2205	3204935	25747115	6.102601633395812	4.54543578897903	8.391386573619052	2.609424417007684	2.184418617952818	3.0689092180076396
